age,workclass,education,marital-status,occupation,sex,hours-per-week,salary
31,Self-emp-inc,Doctorate,Never-married,Prof-specialty,Male,40,<=50K
20,?,Some-college,Never-married,?,Male,40,<=50K
78,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,>50K
32,Private,Bachelors,Married-civ-spouse,Craft-repair,Male,44,>50K
61,Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,3,<=50K
32,Private,5th-6th,Married-civ-spouse,Other-service,Male,40,<=50K
33,Private,9th,Divorced,Craft-repair,Male,55,<=50K
39,Private,Masters,Never-married,Exec-managerial,Male,40,<=50K
49,Private,Assoc-voc,Married-civ-spouse,Sales,Male,25,<=50K
45,Private,HS-grad,Divorced,Other-service,Male,40,<=50K
78,?,HS-grad,Widowed,?,Female,1,<=50K
48,Local-gov,Masters,Never-married,Prof-specialty,Female,52,<=50K
40,Self-emp-not-inc,HS-grad,Divorced,Exec-managerial,Male,50,<=50K
39,Private,Some-college,Divorced,Prof-specialty,Female,45,>50K
26,Private,Bachelors,Never-married,Adm-clerical,Female,40,<=50K
50,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
26,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,>50K
32,Private,Some-college,Married-civ-spouse,Craft-repair,Male,45,<=50K
44,Federal-gov,Bachelors,Divorced,Tech-support,Male,40,>50K
39,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
18,Private,11th,Never-married,Exec-managerial,Female,25,<=50K
77,Self-emp-not-inc,HS-grad,Never-married,Machine-op-inspct,Male,20,<=50K
48,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,40,>50K
28,Private,11th,Married-spouse-absent,Other-service,Female,35,<=50K
30,Private,Masters,Never-married,Tech-support,Male,45,<=50K
18,?,Some-college,Never-married,?,Male,30,<=50K
17,Private,11th,Never-married,Adm-clerical,Female,23,<=50K
61,Private,HS-grad,Married-civ-spouse,Adm-clerical,Female,40,<=50K
31,Private,Some-college,Never-married,Craft-repair,Male,40,<=50K
26,Private,HS-grad,Never-married,Adm-clerical,Female,40,<=50K
34,Private,Some-college,Married-civ-spouse,Other-service,Male,62,<=50K
43,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,<=50K
24,Private,Some-college,Married-civ-spouse,Other-service,Female,40,<=50K
46,Private,Some-college,Married-civ-spouse,Transport-moving,Male,40,>50K
21,State-gov,Some-college,Never-married,Adm-clerical,Female,30,<=50K
57,Private,HS-grad,Divorced,Adm-clerical,Female,45,<=50K
58,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,>50K
59,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,40,>50K
46,Private,HS-grad,Divorced,Exec-managerial,Male,44,<=50K
37,Private,HS-grad,Separated,Craft-repair,Male,50,<=50K
21,Private,Some-college,Never-married,Sales,Male,40,<=50K
73,Self-emp-not-inc,HS-grad,Never-married,Other-service,Female,36,<=50K
54,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Male,40,<=50K
27,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,60,<=50K
49,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,>50K
45,Private,Bachelors,Married-civ-spouse,Sales,Male,60,>50K
58,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Female,35,>50K
30,Private,Some-college,Divorced,Machine-op-inspct,Female,20,<=50K
23,Private,Assoc-acdm,Never-married,Sales,Female,36,<=50K
43,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,40,<=50K
36,Private,HS-grad,Married-civ-spouse,Other-service,Male,50,<=50K
47,Private,HS-grad,Married-civ-spouse,Adm-clerical,Male,40,>50K
41,Private,Some-college,Divorced,Adm-clerical,Female,37,<=50K
33,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,<=50K
26,Private,HS-grad,Divorced,Exec-managerial,Female,41,<=50K
32,Self-emp-inc,HS-grad,Never-married,Craft-repair,Male,40,<=50K
36,Private,9th,Married-civ-spouse,Transport-moving,Male,50,<=50K
46,Private,Masters,Divorced,Exec-managerial,Female,45,<=50K
31,Private,Some-college,Married-civ-spouse,Other-service,Male,40,<=50K
38,Private,Masters,Never-married,Exec-managerial,Female,50,>50K
49,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,50,>50K
33,Private,Masters,Never-married,Prof-specialty,Female,40,<=50K
40,Private,Some-college,Married-civ-spouse,Craft-repair,Male,52,<=50K
30,Private,Bachelors,Never-married,Adm-clerical,Female,40,<=50K
27,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Female,25,<=50K
40,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,40,>50K
65,Private,HS-grad,Widowed,Sales,Female,40,<=50K
43,Local-gov,Masters,Never-married,Prof-specialty,Male,38,<=50K
37,Private,Bachelors,Married-civ-spouse,Sales,Male,60,>50K
41,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,>50K
67,Private,Some-college,Widowed,Sales,Female,25,<=50K
29,Private,HS-grad,Divorced,Machine-op-inspct,Female,40,<=50K
47,?,HS-grad,Married-civ-spouse,?,Male,30,>50K
