age,workclass,education,marital-status,occupation,sex,hours-per-week,salary
35.0,Private,5th-6th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
90.0,Private,1st-4th,Never-married,Priv-house-serv,Male,1.0,>50K
17.0,Self-emp-not-inc,10th,Never-married,Farming-fishing,Male,1.0,<=50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,<=50K
74.45184,Self-emp-not-inc,7th-8th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
17.0,Self-emp-not-inc,10th,Never-married,Farming-fishing,Male,1.0,<=50K
90.0,?,10th,Married-civ-spouse,?,Male,1.0,>50K
17.0,Never-worked,1st-4th,Separated,?,Male,99.0,>50K
17.0,Local-gov,10th,Never-married,Other-service,Male,1.0,>50K
90.0,?,7th-8th,Never-married,?,Male,1.0,<=50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,>50K
52.0,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,99.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,<=50K
18.12575,Self-emp-not-inc,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,<=50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,Self-emp-not-inc,5th-6th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
17.0,Self-emp-inc,10th,Never-married,Prof-specialty,Male,1.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Farming-fishing,Male,99.0,>50K
17.0,?,10th,Never-married,?,Male,99.0,<=50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,1.0,>50K
90.0,?,7th-8th,Married-civ-spouse,?,Male,99.0,>50K
90.0,?,HS-grad,Married-civ-spouse,?,Male,1.0,<=50K
90.0,Private,1st-4th,Married-spouse-absent,Priv-house-serv,Male,1.0001911,<=50K
90.0,Private,1st-4th,Separated,Other-service,Female,3.0185213,<=50K
90.0,Local-gov,7th-8th,Married-civ-spouse,Farming-fishing,Male,1.0,>50K
90.0,?,7th-8th,Separated,?,Male,1.0,>50K
90.0,Private,5th-6th,Never-married,Sales,Male,1.0,<=50K
